procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29644636 132936 1369544    0    0     0    12 1093   61 13  0 87  0
 1  0      0 29644388 132936 1369724    0    0     0     0 1070   31 12  0 87  0
 1  0      0 29644264 132936 1369904    0    0     0  2640 1089   51 12  0 88  0
 1  0      0 29644140 132944 1370032    0    0     0    12 1075   49 13  0 87  0
 1  0      0 29643892 132944 1370224    0    0     0     0 1068   41 12  0 87  0
 1  0      0 29643644 132952 1370396    0    0     0    20 1073   48 12  0 87  0
 1  0      0 29643520 132952 1370576    0    0     0     0 1067   27 13  0 88  0
 1  0      0 29643272 132952 1370764    0    0     0     0 1065   33 13  0 88  0
 1  0      0 29643192 132960 1370940    0    0     0    12 1087   55 13  0 87  0
 1  0      0 29643008 132960 1371120    0    0     0     0 1081   39 13  0 88  0
 1  0      0 29642884 132960 1371300    0    0     0     0 1064   29 12  0 88  0
 1  0      0 29642636 132968 1371480    0    0     0    12 1070   45 12  0 87  0
 1  0      0 29642512 132968 1371664    0    0     0    36 1093   58 12  0 87  0
 1  0      0 29642264 132976 1371896    0    0     0    20 1082   51 13  0 87  0
 1  0      0 29642016 132976 1372076    0    0     0     0 1068   27 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29641892 132976 1372272    0    0     0     0 1071   37 12  0 88  0
 1  0      0 29641768 132984 1372384    0    0     0    12 1074   57 13  0 87  0
 1  0      0 29641644 132984 1372568    0    0     0  2716 1077   39 12  0 87  0
 1  0      0 29641192 132992 1372740    0    0     0    20 1087   43 13  0 87  0
 1  0      0 30327768 132992 1372936    0    0     0   364 1103   53 12  0 87  0
 1  0      0 30326528 132992 1373000    0    0     0     0 1069   41 13  0 88  0
 1  0      0 30324420 133000 1372996    0    0     0    20 1069   45 12  0 87  0
 1  0      0 30319336 133000 1372996    0    0     0     0 1059   29 13  0 88  0
 1  0      0 30316856 133008 1372996    0    0     0    16 1080   49 12  0 87  0
 1  0      0 30316484 133008 1372996    0    0     0     0 1078   49 13  0 87  0
 1  0      0 30302472 133008 1373000    0    0     0     0 1068   33 12  0 88  0
 1  0      0 30266016 133008 1373000    0    0     0     0 1066   27 12  0 87  0
 1  0      0 30250268 133008 1373008    0    0     0     0 1058   32 12  0 88  0
 1  0      0 30206416 133016 1373000    0    0     0    12 1101   89 12  0 87  0
 1  0      0 30178456 133016 1373004    0    0     0     0 1078   37 12  0 87  0
 1  0      0 30150308 133016 1373004    0    0     0     0 1067   27 12  0 88  0
 1  0      0 30119804 133016 1373012    0    0     0     0 1062   29 12  0 88  0
 1  0      0 30088680 133016 1373016    0    0     0     0 1070   43 12  0 87  0
 1  0      0 30055944 133024 1373008    0    0     0    12 1087   55 12  0 87  0
 1  0      0 30020852 133024 1373012    0    0     0     0 1062   27 12  0 87  0
 1  0      0 29984644 133024 1373020    0    0     0     0 1068   36 12  0 88  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29946824 133024 1373020    0    0     0     0 1083   51 12  0 87  0
 1  0      0 29906276 133024 1373020    0    0     0     0 1079   33 12  0 88  0
 1  0      0 29872468 133032 1373016    0    0     0    12 1089   51 12  0 87  0
 1  0      0 29872284 133032 1373024    0    0     0     0 1073   35 13  0 88  0
 1  0      0 29872284 133032 1373024    0    0     0     0 1071   45 13  0 87  0
 1  0      0 29872284 133032 1373024    0    0     0     0 1062   33 12  0 88  0
 1  0      0 29872284 133032 1373028    0    0     0     0 1060   31 13  0 88  0
 1  0      0 29872284 133040 1373020    0    0     0    12 1076   49 13  0 87  1
 1  0      0 29872284 133040 1373020    0    0     0     0 1066   43 13  0 88  0
 1  0      0 29872160 133040 1373020    0    0     0     0 1066   31 12  0 88  0
 1  0      0 29872160 133040 1373024    0    0     0     0 1065   27 13  0 87  0
 1  0      0 29872160 133040 1373032    0    0     0     0 1073   29 13  0 88  0
 1  0      0 29871912 133048 1373024    0    0     0    72 1122   80 12  0 87  0
 1  0      0 29872144 133048 1373024    0    0     0     0 1079   39 12  0 88  0
