procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1208016 11929180 802232 15398808    0    0     0     0 1241  254 13  0 87  0
 1  0 1208016 11912424 802240 15399040    0    0     0    12 1104   76 12  0 87  0
 1  0 1208016 11895792 802240 15399280    0    0     0    20 1095   74 12  0 88  0
 1  1 1208016 11879160 802248 15399520    0    0     0    20 1079   40 12  0 87  0
 1  0 1208016 11860480 802248 15399764    0    0     0     0 1108   70 12  0 87  0
 1  0 1208016 11843724 802248 15400004    0    0     0     0 1075   35 12  0 88  0
 1  0 1208016 11827092 802252 15400248    0    0     0  2492 1115   93 12  0 87  0
 1  0 1208016 11812632 802252 15400428    0    0     0     0 1103   59 13  0 87  0
 1  1 1208016 11796000 802260 15400660    0    0     0    12 1081   53 13  0 88  0
 1  0 1208016 11781416 802260 15400852    0    0     0     0 1084   52 12  0 87  0
 1  0 1208016 11764784 802260 15401092    0    0     0     0 1129   83 13  0 87  0
 1  0 1208016 11750200 802268 15401264    0    0     0    12 1091   67 13  0 88  0
 1  0 1208016 11733692 802268 15401444    0    0     0     0 1093   52 12  0 88  0
 1  1 1208016 11718984 802276 15401676    0    0     0    12 1088   59 12  0 87  0
 1  0 1208016 11702352 802276 15401872    0    0     0     0 1104   78 13  0 87  0
 1  0 1208016 11685844 802276 15402052    0    0     0     0 1064   29 12  0 88  0
 1  0 1208016 11669336 802276 15402236    0    0     0     0 1101   63 13  0 87  0
 1  0 1208016 11652580 802284 15402408    0    0     0    12 1082   52 13  0 87  0
 1  1 1208016 11636072 802292 15402580    0    0     0    12 1095   64 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1208016 11621612 802292 15402776    0    0     0     0 1090   55 13  0 87  0
 1  0 1208016 11607028 802292 15402956    0    0     0     0 1083   46 13  0 88  0
 1  0 1208016 11590272 802292 15403136    0    0     0  2880 1081   45 12  0 87  0
 1  0 1208016 11575812 802300 15403312    0    0     0    20 1131   93 12  0 87  0
 1  1 1208016 11559304 802308 15403428    0    0     0    12 1077   42 13  0 87  0
 1  0 1208016 11542672 802308 15403608    0    0     0     0 1081   61 12  0 87  0
 1  0 1208016 11526040 802308 15403788    0    0     0     0 1085   46 12  0 87  0
 1  0 1208016 11513628 802308 15403980    0    0     0     0 1101   70 12  0 87  0
 1  0 1208016 11504568 802308 15404100    0    0     0    12 1078   41 12  0 87  0
 1  1 1208016 11502272 802316 15404272    0    0     0    12 1112   67 12  0 87  0
 1  0 1208016 11500100 802316 15404452    0    0     0     0 1076   45 13  0 87  0
 1  0 1208016 11497804 802316 15404632    0    0     0     0 1096   65 13  0 88  0
 1  0 1208016 11495508 802316 15404820    0    0     0     0 1096   49 12  0 87  0
 1  0 1208016 11495384 802320 15404996    0    0     0    20 1080   59 13  0 87  0
 1  1 1208016 11493212 802328 15405172    0    0     0    12 1106   56 13  0 87  0
 1  0 1208016 11491040 802328 15405300    0    0     0     0 1112   74 13  0 87  0
 1  0 1208016 11488868 802328 15405480    0    0     0     0 1086   48 13  0 88  0
 1  0 1208016 11486572 802328 15405664    0    0     0     0 1067   35 13  0 88  0
 1  0 1208016 11484276 802336 15405844    0    0     0  2628 1120   80 12  0 87  0
 1  1 1208016 11484152 802344 15406024    0    0     0    20 1073   60 13  0 87  0
 1  0 1208016 11481980 802344 15406144    0    0     0     0 1082   49 13  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1208016 11479808 802344 15406324    0    0     0     0 1097   50 12  0 87  0
 1  0 1208016 11477512 802344 15406504    0    0     0     0 1089   49 12  0 88  0
 1  0 1208016 11475340 802352 15406680    0    0     0    12 1081   70 13  0 87  0
 1  1 1208016 11473168 802360 15406740    0    0     0    12 1109   67 13  0 87  0
 1  0 1208016 11473168 802360 15406980    0    0     0     0 1079   45 12  0 87  0
 1  0 1208016 11471120 802360 15407100    0    0     0     0 1085   45 12  0 88  0
 1  0 1208016 11469880 802360 15407284    0    0     0     0 1104   66 13  0 87  0
 1  0 1208016 11469508 802368 15407468    0    0     0  1700 1108   70 12  0 87  0
 1  0 1208016 11469384 802368 15407648    0    0     0     0 1080   41 12  0 87  0
 1  0 1208016 11469136 802376 15407820    0    0     0    12 1117   69 13  0 87  0
 1  0 1208016 11469012 802376 15407948    0    0     0     0 1098   65 12  0 87  0
 1  0 1208016 11468764 802376 15408188    0    0     0     0 1233  183 13  0 87  0
 1  0 1208016 11468624 802384 15408360    0    0     0    12 1106   68 13  0 87  0
 1  0 1208016 11468516 802384 15408540    0    0     0     0 1112   76 13  0 87  0
 1  1 1208016 11468392 802392 15408660    0    0     0    12 1087   58 13  0 87  0
 1  0 1208016 11468144 802392 15408840    0    0     0     0 1109   84 12  0 87  0
 1  0 1208016 11467744 802392 15409032    0    0     0     0 1092   39 12  0 88  0
 8  0 1208016 10066352 802392 15409172    0    0     0  1700 4511  692 22 29 50  0
 8  0 1208016 7218624 802400 15409172    0    0     0    20 8073 1331 61 39  0  0
 8  0 1208016 4817608 802400 15409172    0    0     0     0 8062 1020 53 47  0  0
 8  0 1208016 3831808 802408 15409176    0    0     0    12 8136 5508 85 15  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 8  0 1208016 3203996 802408 15409176    0    0     0     0 8082 1091 93  7  0  0
 8  0 1208016 2910328 802408 15409176    0    0     0     0 8137 4282 96  4  0  0
 8  0 1208016 2870576 802408 15409176    0    0     0     0 8078  765 99  1  0  0
 8  0 1208016 2847092 802408 15409180    0    0     0     0 8146 3581 98  2  0  0
 9  0 1208016 2829308 802416 15409180    0    0     0    12 8097 2137 99  1  0  0
 4  0 1208016 3886256 802416 15409180    0    0     0     0 8189 4427 91  5  4  0
 2  0 1208016 5113872 802416 15409184    0    0     0     0 4085 4437 17  5 78  0
 1  0 1208016 12109724 802416 15409184    0    0     0    24 3669  921 14 20 66  0
